abstract	id	paper_ref	title	presenters	authors	affiliations	topic
abstract_0504.html	319	P8-04	When the State and Church Clash: Political Legacies of Religious Repression in Nazi Germany	Didac Queralt	Leonid Peisakhin (1), Didac Queralt (2)	1. NYU-Abu Dhabi, 2. Yale University	Comparative Politics
abstract_0503.html	547	P8-04	A Path to Moderate the Extremes? The Impact of Moderate Voters on Euroskeptic Party Policy Positions	Anthony Ocepek	Anthony Ocepek	University of Pittsburgh	Comparative Politics
abstract_0502.html	386	P8-03	The role of perceived fairness in shaping attitudes toward redistributive policies	Kris-Stella Trump	Kris-Stella Trump	University of Memphis	Political Economy, Public Policy and Administration
abstract_0501.html	423	P8-03	Which interests? An experimental study of gender differences in political interest	Gema García-Albacete	Mónica Ferrín (1), Gema García-Albacete (2)	1. University A Coruña, 2. University Carlos III Madrid	Elections, Public Opinion, and Voting Behaviour
abstract_0500.html	58	P8-03	The duration of political imprisonment: Evidence from China	Christoph Steinert	Christoph Steinert	University of Mannheim	International Relations and Conflict
abstract_0499.html	194	P8-03	Office-Holding Premia and Representative Democracy	Jan Auerbach	Jan Auerbach	University of Exeter	Elections, Public Opinion, and Voting Behaviour
abstract_0498.html	108	P8-03	The Long-Run Impact of the Viking Settlements in Medieval England	Anders Wieland	Anders Wieland	Aarhus University	Comparative Politics
abstract_0497.html	151	P8-03	Is the Green New Deal a vote-winner? Evidence from the effect of Spain’s transición ecológica policy on national election results	Diane Bolet	Diane Bolet (1), Fergus Green (2)	1. London School of Economics, 2. Utrecht University	Elections, Public Opinion, and Voting Behaviour
abstract_0496.html	370	P8-03	Electoral closeness and voter turnout: New evidence from European presidential elections	Philipp Köker	Philipp Köker, Frederik Springer	Leibniz University Hannover	Elections, Public Opinion, and Voting Behaviour
abstract_0495.html	252	P8-03	Constraining the agency to please the public: the new mode of responsiveness in the EU.	Aleksandra Khokhlova, Nikoleta Yordanova	Anastasia Ershova, Aleksandra Khokhlova, Nikoleta Yordanova	"Faculty of Social and Behavioural Sciences,
Institute of Political Science, Leiden University"	EU Politics
abstract_0494.html	66	P8-03	Does Intra-District Polarization Cause Party Polarization in Congress?	Hioroki Kubo	Hioroki Kubo	Meiji Gakuin University	Legislative Studies and Party Politics
abstract_0493.html	393	P8-03	Gendered Political Institutions: Understanding Female Legislators’ Experience of the Parliamentary Space and Their Behavioural Strategies	Reut Itzkovitch-Malka, Itzkovitch-Malka,, Vered Porzycki	Reut Itzkovitch-Malka, Itzkovitch-Malka (2), Vered Porzycki (1)	1. The Hebrew University of Jerusalem, 2. The Open University of Israel	Legislative Studies and Party Politics
abstract_0492.html	224	P8-03	Cabinet reshuffles: how bad are they for expertise and policy?	Despina Alexiadou	Despina Alexiadou	University of Strathclyde	Political Economy, Public Policy and Administration
abstract_0491.html	153	P8-03	A Systematic Assessment of Ideological Measures: An empirical analyses	Flavio Azevedo	Flavio Azevedo	Friedrich Schiller University	Political Methodology
abstract_0490.html	426	P8-03	Divorcing the European Union? Examining the Use of Metaphors in Public Debate about Brexit	Maarja Lühiste	Maarja Lühiste, Jemima Repo	Newcastle University	Political Communications
abstract_0489.html	402	P8-03	Legislative Informational Lobbying	Arnaud Dellis	Arnaud Dellis	University of Quebec in Montreal	Legislative Studies and Party Politics
abstract_0488.html	470	P8-03	The dialogue paradox: Assessing interfaith and intercultural dialogue as a policy tool in Europe	Olav Elgvin	Olav Elgvin	"University of Bergen; 
Fafo - Institute for Social Research"	Comparative Politics
abstract_0487.html	576	P8-03	Normalization of Euroscepticism or normal politicization of European integration: French elites' ambivalence towards the EU in the media	Cyrille Thiébaut	Cyrille Thiébaut	1. CYU - AGORA, 2. Sciences Po - LIEPP	EU Politics
abstract_0486.html	217	P8-02	Why is it so difficult to tax the rich? Evidence from German policy-makers	Paul Marx	Paul Marx	University of Duisburg-Essen	Political Economy, Public Policy and Administration
abstract_0485.html	52	P8-02	Praise from Peers Promotes Empathetic Behavior	Adeline Lo, Jonathan Renshon, Lotem Bassan	Adeline Lo, Jonathan Renshon, Lotem Bassan	University of Wisconsin, Madison	Political Communications
abstract_0484.html	600	P8-02	When repression signals bad policy	Anna Pauls	Anna Pauls	Department of Economics, University of Oslo	Political Economy, Public Policy and Administration
abstract_0483.html	510	P8-02	Does Proportional Representation Increase Redistribution? Evidence from Early 20th Century Norwegian Municipalities	Tine Paulsen	Tine Paulsen	New York University	Comparative Politics
abstract_0482.html	95	P8-02	Candidate Exit and Voter Loyalty during Early Democratization	Janne Tukiainen	Torun Dewan (1), Christopher Kam (2), Jaakko Meriläinen (3), Janne Tukiainen (4)	1. London School of Economics and Political Science, 2. University of British Columbia, 3. Instituto Tecnológico Autónomo de México, 4. University of Turku	Political Methodology
abstract_0481.html	55	P8-02	Can the Accommodation Strategy be Effective? An Examination of Mainstream Party Shifts in Europe	Matthias Avina	Matthias Avina	University of Pittsburgh	Elections, Public Opinion, and Voting Behaviour
abstract_0480.html	19	P8-02	Legislator Dissent and Electoral Outcomes	Resul Umit	Philip Cowley (1), Resul Umit (2)	1. Queen Mary University of London, 2. University of Oslo	Legislative Studies and Party Politics
abstract_0479.html	218	P8-02	Polity, politics or policies? Voters’ political news preferences during European Parliament election campaigns	Katjana Gattermann	Katjana Gattermann	University of Amsterdam	EU Politics
abstract_0478.html	608	P8-02	What's in a Dimension? The Western European Political Space from a Comparative Perspective	Garret Binding	Garret Binding, Marco Steenbergen, Jelle Koedam	University of Zurich	Comparative Politics
abstract_0477.html	420	P8-02	Can I stay or must I go? Cabinet replacement in Africa	Janina Beiser-McGrath, Anja Osei	Janina Beiser-McGrath (1), Anja Osei (2)	1. Royal Holloway, University of London, 2. University of Konstanz	Comparative Politics
abstract_0476.html	353	P8-02	Mind the Gap: Why Wealthy Voters Support Brexit	Raluca L. Pahontu	Raluca L. Pahontu (1), Jane Green (2)	1. London School of Economics and Political Science, 2. University of Oxford	Elections, Public Opinion, and Voting Behaviour
abstract_0475.html	572	P8-02	Let them eat pie: addressing the partial contestation problem in multiparty electoral contests	Ali Kagalwala, Thiago Moreira, Guy Whitten	Ali Kagalwala, Thiago Moreira, Guy Whitten	Texas A&M University	Political Methodology
abstract_0474.html	508	P8-02	Ask, And You Shall Receive - Strategic Information Transmission in the Public Consultation Procedure of the European Commission	Samuel Mueller	Samuel Mueller	University of Mannheim	EU Politics
abstract_0473.html	278	P8-02	The Transformation of Religious Cleavages in European Democracies: A Comparative Analysis	Kamil Marcinkiewicz	Kamil Marcinkiewicz (1), Ruth Dassonneville (2), Martin Elff (3)	1. Universität Hamburg, 2. Université de Montréal, 3. Zeppelin Universität	Comparative Politics
abstract_0472.html	363	P8-02	A blessing and a curse? Examining public preferences for differentiated integration	Lisanne de Blok	Lisanne de Blok (1), Catherine de Vries (2)	1. Vrije Universiteit Amsterdam, 2. Bocconi University	EU Politics
abstract_0471.html	313	P8-01	Values, Theories and Pragmatism: the Economic Ideas of British and German Politicians	Anna Killick	Lucy Barnes, Anna Killick	University College London	Political Economy, Public Policy and Administration
abstract_0470.html	320	P8-01	Political Culture(s) Under Threat? How Language Influences Public Attitudes toward Multilevel Governance	Pirmin Bundi	Pirmin Bundi, Sean Mueller	University of Lausanne	Comparative Politics
abstract_0469.html	324	P8-01	Does Banning Extremism Work? Evidence from Employment Bans in Germany	Daniel Bischof	Daniel Bischof (1), Vicente Valentim (2)	1. University of Zurich | Aarhus University, 2. European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0468.html	44	P8-01	Support for What? Economic Insecurity and Multidimensional Social Policy Preferences	Mallory Compton, Andrew Philips	Mallory Compton (1), Andrew Philips (2)	1. Texas A&M University, Bush School of Government, 2. University of Colorado Boulder	Political Economy, Public Policy and Administration
abstract_0467.html	102	P8-01	The Deliberative Constitution: Lotteries in Denmark's 1848 Constituent Assembly	Brenda Van Coppenolle	Brenda Van Coppenolle (1), Alexandra Cirone (2)	1. University of Essex, 2. Cornell University	Legislative Studies and Party Politics
abstract_0466.html	443	P8-01	How do policy positions of candidates affect vote choice under OLPR? Survey-experimental evidence using real candidates from Switzerland	Franziska Quoß	Franziska Quoß (1), Lukas Rudolph (1,3), Thomas Däubler (2)	1. ETH Zürich, Switzerland, 2. University College Dublin, Ireland, 3. LMU München, Germany	Elections, Public Opinion, and Voting Behaviour
abstract_0465.html	413	P8-01	From Parties to Leaders (and Back): Voting Behavior Patterns 60s-2020s	Alessio Albarello	Alessio Albarello	University of Rochester	Elections, Public Opinion, and Voting Behaviour
abstract_0464.html	69	P8-01	How Do European Citizens Form Their Views of the EU Public Administration? Exploring the Role of Heuristics	Jan Vogler	Jan Vogler	University of Virginia	EU Politics
abstract_0463.html	227	P8-01	Factionalism and Red Guards under the Cultural Revolution: Ideal Point Estimation Using Text-as-Data Scaling Method	Yi-nung Tsai, Dechun Zhang, David, Yen-Chieh Liao	Yi-nung Tsai (1), Dechun Zhang (2), David, Yen-Chieh Liao (3)	1. PhD candidate, Department of Political Science, National Chengchi University, Taiwan, 2. PhD Candidate, The Leiden University Institute for Area Studies, Faculty of Humanities, Leiden University, 3. PhD Candidate, Department of Government, University of Essex	Comparative Politics
abstract_0462.html	229	P8-01	When Do Women Voters See Themselves in Female Representatives?: Examining the Class Effects of Gender Gender Representation	Yesola Kweon	Yesola Kweon (1), Jeong Hyun Kim (2)	1. Utah State University, 2. Louisiana State University	Comparative Politics
abstract_0461.html	338	P8-01	The Spurious Relationship between Party Leader Resignations and their Votes	Christine Sylvester, Julia Maynard	Christine Sylvester (1), Julia Maynard (2,3)	1. University of Strathclyde, 2. University of Michigan, 3. University of Zurich	Legislative Studies and Party Politics
abstract_0460.html	263	P8-01	The Core of the Party System	Tasos Kalandrakis	Tasos Kalandrakis (1), Zuheir Desai (2)	1. University of Rochester, 2. Princeton University	Political Methodology
abstract_0459.html	274	P8-01	Learning from Precedent: How the British Brexit Experience Counteracts Nationalism outside the UK	Marco Martini	Marco Martini, Stefanie Walter	University of Zurich	EU Politics
abstract_0458.html	207	P8-01	Strategic and Sequential Links between Campaign Donations and Lobbying	Jan Stuckatz	In Song Kim (1), Jan Stuckatz (2), Lukas Wolters (3)	1. Massachusetts Institute of Technology (MIT), 2. Institute for Advanced Study in Toulouse (IAST), 3. Massachusetts Institute of Technology (MIT)	Political Economy, Public Policy and Administration
abstract_0457.html	110	P8-01	Elite Control of Religious Institutions: Evidence from Denmark	Lasse Aaskoven	Lasse Aaskoven (1), Jonathan Doucette (2)	1. University of Essex, Department of Government, 2. Aarhus University, Department of Political Science	Comparative Politics
abstract_0456.html	289	P8-01	When opposites attract: Causes and consequences of different types of Euroscepticism among voters.	Roberto Pannico	Roberto Pannico (1), Enrique Hernández (2)	1. Instituto de Ciências Sociais da Universidade de Lisboa, 2. Universitat Autònoma de Barcelona	Elections, Public Opinion, and Voting Behaviour
abstract_0455.html	405	P7-07	NIMBYism and mass public preferences in public goods provision – evidence from mobile phone antenna placement in Switzerland	Lukas Rudolph	Lukas Rudolph (1,2), Franziska Quoss (2), Thomas Bernauer (2)	1. LMU Munich, 2. ETH Zurich	Political Economy, Public Policy and Administration
abstract_0454.html	84	P7-06	Campaign money for nothing? Understanding the consequences of a ban on corporate contributions: evidence from Brazil	Alexandros Cavgias	Francesco Granella (1), Alexandros Cavgias (2)	1. Bocconi University, 2. Universitat de Barcelona	Political Economy, Public Policy and Administration
abstract_0453.html	104	P7-05	Exploring preference prioritization under austerity	Max Joosten	Max Joosten	Université de Genève	Comparative Politics
abstract_0452.html	129	P7-05	Cultivating a Personal Vote can Increase Legislative Cohesion: Evidence from Clientelistic Parties in Mexico	Lucia Motolinia	Lucia Motolinia	New York University	Legislative Studies and Party Politics
abstract_0451.html	416	P7-05	Signal of Strength? Clientelism and Voters’ Expectations of Politicians’ Performance in Malawi and Zambia	Kristen Kao, Ellen Lust	Kristen Kao, Ellen Lust	University of Gothenburg	Elections, Public Opinion, and Voting Behaviour
abstract_0450.html	442	P7-04	Prejudice, the Rule of Law and Support for Immigration Enforcement	Miranda Simon, Cassilde Schwartz	Miranda Simon (1), Cassilde Schwartz (2), Jennifer Van-Heerde Hudson (3), David Hudson (4)	1. University of Essex, 2. Royal Holloway, University of London, 3. University College London, 4. University of Birmingham	Elections, Public Opinion, and Voting Behaviour
abstract_0449.html	246	P7-04	The Activation of Norms – Revisiting the Link between Citizenship Norms and Participation	Kathrin Ackermann	Kathrin Ackermann	Heidelberg University	Elections, Public Opinion, and Voting Behaviour
abstract_0448.html	467	P7-04	Explaining the Variation in Individuals' Conspiratorial Beliefs: The Effect of Exposure to Emotive Conspiratorial Messaging in the Media	David Moore	David Moore	Trinity College Dublin	Political Communications
abstract_0447.html	499	P7-04	Internal Divisions within Governments and International Cooperation	Jonas Bunte	Jonas Bunte	University of Texas at Dallas / Vienna University of Economics and Business	Comparative Politics
abstract_0446.html	626	P7-04	Housing, Assets and the Populist Radical Right	Pauliina Patana, Alexander Held	Pauliina Patana (1), Alexander Held (2)	1. Postdoctoral Fellow, Harvard Kennedy School, 2. Assistant Professor, Trinity College Dublin	Elections, Public Opinion, and Voting Behaviour
abstract_0445.html	383	P7-04	Affective polarization and elections. How do (strong) partisans react?	Daniel Sandu	Daniel Sandu (1), Costin Ciobanu (2)	1. European University Institute, 2. McGill University	Elections, Public Opinion, and Voting Behaviour
abstract_0444.html	518	P7-04	Trust, Information and Redistributive Preferences in Pandemic Italy	Ari Ray	Ari Ray (1), Francesco Colombo (2)	1. University of Geneva, 2. European University Institute	Political Economy, Public Policy and Administration
abstract_0443.html	449	P7-04	Perceptions of Local Economic Decline: who perceives decline, and why does it matter?	Jane Green	Jane Green (1), Lawrence McKay (2), Will Jennings (2), Gerry Stoker (2)	1. Nuffield College, Oxford, 2. University of Southampton	Elections, Public Opinion, and Voting Behaviour
abstract_0442.html	345	P7-04	Risk Preferences and Outcome Bias in the Delegation Process	Manuel Schwaninger	Marc Debus (1,2), Monika Mühlböck (1,2), Manuel Schwaninger (2)	1. University of Mannheim, 2. Mannheim Centre for European Social Research (MZES)	Elections, Public Opinion, and Voting Behaviour
abstract_0441.html	571	P7-04	Ownership of telecom companies and internet disruptions	Tina Freyburg, Lisa Garbe	Tina Freyburg (1), Lisa Garbe (1), Keith McManamen (2)	1. University of St.Gallen, School of Economics and Political Science, Switzerland, 2. Psiphon Inc., Toronto, Canada	Comparative Politics
abstract_0440.html	378	P7-04	Putting on the Brakes: Radical Right Parties and Government Formation	Jae-Jae Spoon	Heike Klüver (1), Jae-Jae Spoon (2), António Valentim (1)	1. Humboldt-Universität zu Berlin, 2. University of Pittsburgh	Legislative Studies and Party Politics
abstract_0439.html	628	P7-04	The effects of pregnancy, childbirth, and early parenthood on the gender gap in political knowledge. A large scale longitudinal survey	Elias Markstedt	Elias Markstedt, Elin Naurin	University of Gothenburg	Elections, Public Opinion, and Voting Behaviour
abstract_0438.html	565	P7-04	'Reversed favoritism'' -- Resolving the puzzle of discriminatory taxation in African agriculture	Lennart Kaplan	Lennart Kaplan	Georg-August University Göttingen, Deutsches Institut für Entwicklungspolitik	Political Economy, Public Policy and Administration
abstract_0437.html	646	P7-03	Measurement Error and Bias in the Study of Intergovernmental Organizations	Oliver Westerwinter, Stefano Jud	Oliver Westerwinter (1), Stefano Jud (2)	1. University of St. Gallen, 2. Emory University	International Relations and Conflict
abstract_0436.html	407	P7-03	After the arrivals: How responses to asylum seekers differ in rural and urban areas	Ilona Lahdelma	Ilona Lahdelma	Juan March Institute, Carlos III	Elections, Public Opinion, and Voting Behaviour
abstract_0435.html	200	P7-03	Defenders of democracy? How democratic attitudes relate to political participation	Marlene Mauk	Carsten Wegscheider (1), Marlene Mauk (2)	1. University of Salzburg, 2. GESIS - Leibniz Institute for the Social Sciences	Elections, Public Opinion, and Voting Behaviour
abstract_0434.html	341	P7-03	Who wants to go with whom? Identifying coalition signals in newspaper articles using supervised machine learning	Anna Adendorf, Oke Bahnsen	Anna Adendorf (1), Ines Rehbein (2), Oke Bahnsen (1), Thomas Gschwend (1), Simone Paolo Ponzetto (2)	"1. University of Mannheim,
Mannheim Centre for European Social Research, 2. University of Mannheim,
Data and Web Science Group,
School of Business Informatics and Mathematics"	Political Communications
abstract_0433.html	92	P7-03	COVID Vaccine Alliance Building Blocks. A Conjoint Experiment on Popular Support for Institutional Design Principles	Markus Tepe	Markus Tepe (1), Pieter Vanhuysse (2), Michael Jankowski (1)	1. University of Oldenburg, 2. University of Southern Denmark	Political Economy, Public Policy and Administration
abstract_0432.html	471	P7-03	The Populist Zeitgeist and Parliamentary Discourse	Marius Saeltzer	Marius Saeltzer (1), Jochen Müller (2), Stecker Christian (1), Blätte Andreas (3), Christoph Leonhardt (3)	1. Universität Mannheim, 2. Humboldt-Universität zu Berlin, 3. Universität Duisburg-Essen	Legislative Studies and Party Politics
abstract_0431.html	340	P7-03	Affective polarization and support for populist parties	Josep Maria Comellas Bonsfills	Josep Maria Comellas Bonsfills	Universitat Pompeu Fabra (UPF)	Elections, Public Opinion, and Voting Behaviour
abstract_0430.html	463	P7-03	COVID-19 and Inter-Generational Conflict	Catherine De Vries	Catherine De Vries, Francesco Billari, Paula Rettl	Bocconi University	Comparative Politics
abstract_0429.html	385	P7-03	Blame and credit attribution for economic shocks	Costin Ciobanu	Costin Ciobanu	McGill University	Elections, Public Opinion, and Voting Behaviour
abstract_0428.html	134	P7-03	European social democracy and the trade-offs of party competition in post-industrial societies	Tarik Abou-Chadi	Tarik Abou-Chadi (1), Silja Häusermann (1), Reto Mitteregger (1), Nadja Mosimann (1), Markus Wagner (2)	1. University of Zurich, 2. University of Vienna	Elections, Public Opinion, and Voting Behaviour
abstract_0427.html	235	P7-03	Walking the line: Electoral cycles and the shift in legislative priorities among German Parliamentarians	Corinna Kroeber, Jan Berz	Corinna Kroeber (1), Jan Berz (2)	1. University of Greifswald, 2. Trinity College Dublin	Legislative Studies and Party Politics
abstract_0426.html	167	P7-03	Under Pressure? Parties, Voters, and Legislator Ideology Reconsidered	Adam Ramey	Gary Hollibaugh (3), Jonathan Klingler (2), Adam Ramey (1)	1. New York University Abu Dhabi, 2. University of Mississippi, 3. University of Pittsburgh	Comparative Politics
abstract_0425.html	59	P7-03	What Determines American Citizens' Views of the Administrative State? The Roles of Political Affiliation, Value Systems, Experience, and Bureaucratic Performance	Jan Vogler	Edgar Cook (1), Jan Vogler (2)	1. Duke University, 2. University of Virginia	Elections, Public Opinion, and Voting Behaviour
abstract_0424.html	523	P7-03	Are Distant Voters More Likely to Reject the Establishment? The Effects of Perceived Ideological Congruence on Support for Challenger Parties	Didem Seyis	Robin E. Best, Didem Seyis	Binghamton University (SUNY)	Elections, Public Opinion, and Voting Behaviour
abstract_0423.html	381	P7-03	Does University Make you Less Prejudiced? Evidence from a Longitudinal Cohort Study	Ralph Scott	Ralph Scott	University of Manchester	Elections, Public Opinion, and Voting Behaviour
abstract_0422.html	602	P7-03	Aid, Blame, and Backlash: The Political Economy of Unpopular Aid	Cleo O'Brien-Udry	Cleo O'Brien-Udry	Yale University	Political Economy, Public Policy and Administration
abstract_0421.html	333	P7-02	The State-First Argument: Novel Evidence with a Novel Measure of State Capacity	Andrea Vaccaro	Andrea Vaccaro	Sapienza University of Rome	Comparative Politics
abstract_0420.html	195	P7-02	Global norms, regional practices: Taste-based vs. statistical discrimination in German asylum decision making	Gerald Schneider	Lidwina Gundacker (1), Yuliya Kosyakova (1), Gerald Schneider (2)	1. IAB Nurnberg, 2. University of Konstanz	Political Economy, Public Policy and Administration
abstract_0419.html	160	P7-02	Who cares? Conceptions of what democracy means and acquisition to democratic backsliding in Germany and Poland	Lea Kaftan	Lea Kaftan (1), Theresa Gessler (2)	1. University of Cologne, 2. University of Zurich	Elections, Public Opinion, and Voting Behaviour
abstract_0418.html	175	P7-02	Tweeting out loud. Coalition signals in social media	Rosa M. Navarrete	Rosa M. Navarrete (1), Anna Adendorf (1), Markus Baumann (2)	1. MZES - University of Mannheim, 2. Goethe-Universität Frankfurt am Main	Political Communications
abstract_0417.html	137	P7-02	The Istanbul Convention and Gender Politics: A Comparative Analysis of Bulgaria and Poland	Anna Gwiazda	Anna Gwiazda (1), Liana Minkova (2)	1. King's College London, 2. University of Cambridge	Comparative Politics
abstract_0416.html	317	P7-02	The normalization of radical politics: Polling, electoral performance, and reported vote switching	Denis Cohen	Denis Cohen (1), Daniel Bischof (2)	1. University of Mannheim, 2. University of Zurich	Elections, Public Opinion, and Voting Behaviour
abstract_0415.html	182	P7-02	Local Newspaper Decline and Political Polarization.	Fabio Ellger	Fabio Ellger (1), Hanno Hilbig (2), Sascha Riaz (2), Philipp Tillmann (3)	1. Humboldt-Universität zu Berlin, 2. Harvard University, 3. Analysis Group	Elections, Public Opinion, and Voting Behaviour
abstract_0414.html	329	P7-02	How to pay for Covid? The impact of the pandemic on preferences for taxes and spending	Sergi Pardos-Prado	Sergi Pardos-Prado, Anja Neundorf	University of Glasgow	Political Economy, Public Policy and Administration
abstract_0413.html	36	P7-02	Austerity, Economic Vulnerability, and Populism	Thomas Sattler	Leonardo Baccini (1), Thomas Sattler (2)	1. McGill University, 2. University of Geneva	Elections, Public Opinion, and Voting Behaviour
abstract_0412.html	187	P7-02	Party Institutions and Social Welfare	Maikol Cerda	Alexander Kustov, Maikol Cerda, Ian Shapiro, Frances Rosenbluth	Yale University	Legislative Studies and Party Politics
abstract_0411.html	659	P7-02	Political (self-)selection and competition: Evidence from U.S. Congressional elections	Paul Bose	Paul Bose	Erasmus University Rotterdam	Elections, Public Opinion, and Voting Behaviour
abstract_0410.html	373	P7-02	Designing Electoral Districts. How Electoral Geography and Partisan Politics Constrain Proportionality and Create Bias	André Walter	André Walter, Patrick Emmenegger	University of St. Gallen	Comparative Politics
abstract_0409.html	566	P7-02	Evidence of In-group and Out-group Dynamics in Subcentral Benchmarking	Amuitz Garmendia Madariaga	Amuitz Garmendia Madariaga (2), Sandra Leon (1)	1. Universidad Carlos III de Madrid, 2. Universidad Carlos III de Madrid	Elections, Public Opinion, and Voting Behaviour
abstract_0408.html	421	P7-02	The Electoral Consequences of New Political Actors: Progressive Party Success and Conservative Backlash	Tom Arend	Tom Arend (1), Fabio Ellger (2), António Valentim (2)	1. Hertie School, 2. Humboldt University of Berlin	Elections, Public Opinion, and Voting Behaviour
abstract_0407.html	184	P7-02	Political gender gaps across countries and generations: the impact of socioeconomic position over the life course	Mathilde M. van Ditmars, Rosalind Shorrocks	Mathilde M. van Ditmars (1), Rosalind Shorrocks (2)	1. University of Lucerne, 2. University of Manchester	Elections, Public Opinion, and Voting Behaviour
abstract_0406.html	221	P7-02	Rewarding Women's Rights in Dictatorships	Daniela Donno	Daniela Donno (1), Sarah Bush (2), Pär Zetterberg (3)	1. Associate Professor, University of Cyprus, 2. Associate Professor, Yale University, 3. Associate Professor, Uppsala University	International Relations and Conflict
abstract_0405.html	154	P7-01	Measuring Political Ideology – A Meta-scientific account	Flavio Azevedo	Flavio Azevedo	Friedrich Schiller University	Elections, Public Opinion, and Voting Behaviour
abstract_0404.html	654	P7-01	Asylum and Policy Response in the UK and Germany	Alex Hartland	Alex Hartland	University of Manchester	Comparative Politics
abstract_0403.html	594	P7-01	When are blame games effective? How blame and source effects shape citizens’ acceptance of EU sanctions against democratic backsliding	Bernd Schlipphak, Oliver Treib	Bernd Schlipphak, Constantin Schäfer, Oliver Treib	University of Münster, Department of Political Science	EU Politics
abstract_0402.html	38	P7-01	Repost and Like: Securitization Theory in the Digital Age	Natalia Umansky	Natalia Umansky	University College Dublin	International Relations and Conflict
abstract_0401.html	384	P7-01	Who cares about IOs? Exploring worldwide visibility of international organizations in media	Michal Parizek	Michal Parizek	Charles University	International Relations and Conflict
abstract_0400.html	150	P7-01	Going Mainstream: Does Mainstream Media Platforming Legitimize Radical Right Views?	Diane Bolet	Diane Bolet (1), Florian Foos (2)	1. King's College London, 2. London School of Economics and Political Science	Elections, Public Opinion, and Voting Behaviour
abstract_0399.html	128	P7-01	When Policies Become Irrelevant: The Effect of Polarized Attitudes on Vote Switching	Mert Moral	Şeyma Topçu (1), Mert Moral (2)	1. Sabanc? University, 2. Sabanc? University	Elections, Public Opinion, and Voting Behaviour
abstract_0398.html	300	P7-01	British Attitudes and Welfare Policy Preferences Towards Migrant Labour During the COVID-19 Pandemic: Change or Continuity?	William Allen	William Allen (1), Jacqueline Broadhead (2), Mariña Fernández-Reino (2), Denis Kierans (2), Isabel Ruiz (3), Madeleine Sumption (4)	1. University of Oxford, Department of Politics and International Relations, 2. University of Oxford, Centre on Migration, Policy, and Society, 3. University of Oxford, Blavatnik School of Government, 4. University of Oxford, The Migration Observatory	Elections, Public Opinion, and Voting Behaviour
abstract_0397.html	488	P7-01	Strategic alignment in times of crisis: Voting at the dawn of a global pandemic	Arndt Leininger, Max Schaub	Arndt Leininger (1), Max Schaub (2)	1. Freie Universität Berlin, 2. WZB Social Science Center Berlin	Comparative Politics
